0,\x20,\t,\n,\r,#,=,_,+,-,.,"""",\\,[,],",",\\d,E|e,[a-d]|[f-z]|[A-D]|[F-Z]
1,1,1,1,1,101,301,201,601,601,-1,501,-1,401,403,405,602,201,201
101,101,101,102,-1,101,101,101,101,101,101,101,101,101,101,101,101,101,101
102,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
201,202,202,202,202,202,202,201,202,201,202,202,202,202,202,202,201,201,201
202,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
301,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
302,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
401,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402
402,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
403,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404
404,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
405,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406
406,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
501,501,501,-1,-1,501,501,501,501,501,503,501,502,501,501,501,501,501,501
502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,501,501,-1,-1,-1,-1,-1,-1
503,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,602,-1,-1
602,603,603,603,603,603,603,603,603,603,606,603,603,603,603,603,602,604,603
603,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
604,-1,-1,-1,-1,-1,-1,-1,605,605,-1,-1,-1,-1,-1,-1,605,-1,-1
605,607,607,607,607,607,607,607,607,607,607,607,607,607,607,607,605,607,607
606,607,607,607,607,607,607,607,607,607,607,607,607,607,607,607,606,604,607
607,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
